model,group,game_file,turn,actor_role,actor_player,posterior_marginal,posterior_joint,n_cand_marginal,n_cand_joint,n_constrained_others,actual_fail,parse_ok
GPT54,llm_vs_flawed,game_13.json,15,rule,1,0.65625,0.65275142315,18,18,4,True,
GPT54,llm_vs_flawed,game_14.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_14.json,3,rule,1,0.153846153846,0.153846153846,5,5,3,True,
GPT54,llm_vs_flawed,game_14.json,7,rule,1,0.677419354839,0.668253968254,16,16,4,True,
GPT54,llm_vs_flawed,game_14.json,9,rule,1,0.666666666667,0.656896551724,16,16,3,True,
GPT54,llm_vs_flawed,game_15.json,1,rule,1,0.621621621622,0.621621621622,19,19,4,True,
GPT54,llm_vs_flawed,game_15.json,3,rule,1,0.6,0.6,18,18,3,True,
GPT54,llm_vs_flawed,game_15.json,5,rule,1,0.592592592593,0.592592592593,14,14,4,True,
GPT54,llm_vs_flawed,game_16.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_16.json,3,rule,1,0.714285714286,0.714285714286,4,4,4,False,
GPT54,llm_vs_flawed,game_16.json,5,rule,1,0.666666666667,0.666666666667,4,4,3,True,
GPT54,llm_vs_flawed,game_16.json,7,rule,1,0.6875,0.666666666667,16,16,4,True,
GPT54,llm_vs_flawed,game_16.json,9,rule,1,0,0,4,4,4,False,
GPT54,llm_vs_flawed,game_16.json,11,rule,1,0.6,0.6,4,4,4,False,
GPT54,llm_vs_flawed,game_16.json,13,rule,1,0.625,0.598212005109,18,18,3,True,
GPT54,llm_vs_flawed,game_17.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_17.json,18,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_17.json,26,llm,0,0.166666666667,0.166666666667,3,3,4,False,True
GPT54,llm_vs_flawed,game_17.json,27,rule,1,0.75,0.75,3,3,4,True,
GPT54,llm_vs_flawed,game_17.json,44,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_17.json,47,rule,1,0.285714285714,0.285714285714,4,4,4,False,
GPT54,llm_vs_flawed,game_18.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_18.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_18.json,5,rule,1,0.181818181818,0.181818181818,4,4,4,False,
GPT54,llm_vs_flawed,game_18.json,9,rule,1,0.142857142857,0.142857142857,4,4,4,True,
GPT54,llm_vs_flawed,game_18.json,22,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_18.json,24,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_18.json,28,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_18.json,31,rule,1,0.5,0.5,3,3,4,True,
GPT54,llm_vs_flawed,game_18.json,38,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_18.json,39,rule,1,0,0,1,1,3,False,
GPT54,llm_vs_flawed,game_18.json,40,llm,0,0,0,1,1,3,False,True
GPT54,llm_vs_flawed,game_18.json,47,rule,1,1,1,2,2,4,True,
GPT54,llm_vs_flawed,game_19.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_19.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_19.json,5,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_19.json,7,rule,1,0.666666666667,0.666666666667,3,3,4,True,
GPT54,llm_vs_flawed,game_19.json,9,rule,1,0.689655172414,0.683333333333,16,16,3,True,
GPT54,llm_vs_flawed,game_19.json,11,rule,1,0.4,0.4,5,5,4,False,
GPT54,llm_vs_flawed,game_19.json,24,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_19.json,25,rule,1,0.631578947368,0.611111111111,14,14,3,True,
GPT54,llm_vs_flawed,game_2.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_2.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_2.json,5,rule,1,0.181818181818,0.181818181818,4,4,3,True,
GPT54,llm_vs_flawed,game_2.json,9,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_2.json,11,rule,1,0.75,0.75,3,3,4,True,
GPT54,llm_vs_flawed,game_2.json,21,rule,1,0.571428571429,0.571428571429,4,4,4,True,
GPT54,llm_vs_flawed,game_20.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_20.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_20.json,5,rule,1,0.714285714286,0.714285714286,4,4,3,True,
GPT54,llm_vs_flawed,game_20.json,9,rule,1,0.689655172414,0.674074074074,16,16,4,True,
GPT54,llm_vs_flawed,game_20.json,11,rule,1,0.676470588235,0.662828947368,20,20,3,True,
GPT54,llm_vs_flawed,game_21.json,3,rule,1,0,0,4,4,4,False,
GPT54,llm_vs_flawed,game_21.json,5,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_21.json,7,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_21.json,9,rule,1,0.4,0.4,4,4,4,False,
GPT54,llm_vs_flawed,game_21.json,11,rule,1,0.222222222222,0.222222222222,5,5,4,False,
GPT54,llm_vs_flawed,game_21.json,13,rule,1,0.5,0.5,2,2,4,False,
GPT54,llm_vs_flawed,game_21.json,34,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_21.json,43,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_21.json,45,rule,1,0.823529411765,0.8,16,16,3,True,
GPT54,llm_vs_flawed,game_21.json,47,rule,1,1,1,2,2,2,True,
GPT54,llm_vs_flawed,game_21.json,56,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_22.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_22.json,6,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_22.json,7,rule,1,0.714285714286,0.714285714286,4,4,4,True,
GPT54,llm_vs_flawed,game_22.json,9,rule,1,0.666666666667,0.666666666667,4,4,4,False,
GPT54,llm_vs_flawed,game_22.json,11,rule,1,0.642857142857,0.615384615385,16,16,4,False,
GPT54,llm_vs_flawed,game_22.json,13,rule,1,0.333333333333,0.333333333333,4,4,4,False,
GPT54,llm_vs_flawed,game_22.json,15,rule,1,0.8,0.8,4,4,3,True,
GPT54,llm_vs_flawed,game_22.json,27,rule,1,0.5,0.5,3,3,4,False,
GPT54,llm_vs_flawed,game_22.json,29,rule,1,0.64,0.624401913876,20,20,3,True,
GPT54,llm_vs_flawed,game_23.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_23.json,5,rule,1,0,0,4,4,4,False,
GPT54,llm_vs_flawed,game_23.json,7,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_23.json,11,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_23.json,13,rule,1,0.684210526316,0.647058823529,11,11,4,True,
GPT54,llm_vs_flawed,game_23.json,15,rule,1,0.714285714286,0.714285714286,4,4,3,True,
GPT54,llm_vs_flawed,game_23.json,17,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_23.json,38,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_23.json,46,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_24.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_24.json,7,rule,1,0.714285714286,0.714285714286,4,4,4,True,
GPT54,llm_vs_flawed,game_24.json,9,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_24.json,11,rule,1,0.166666666667,0.166666666667,5,5,4,False,
GPT54,llm_vs_flawed,game_24.json,32,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_25.json,5,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_25.json,18,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_25.json,30,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_25.json,32,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_25.json,44,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_25.json,47,rule,1,0.666666666667,0.666666666667,4,4,4,False,
GPT54,llm_vs_flawed,game_25.json,52,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_25.json,53,rule,1,0.8,0.8,7,7,3,True,
GPT54,llm_vs_flawed,game_25.json,55,rule,1,0.777777777778,0.777777777778,7,7,2,True,
GPT54,llm_vs_flawed,game_26.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_26.json,5,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_26.json,12,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_26.json,15,rule,1,0.5,0.5,3,3,4,False,
GPT54,llm_vs_flawed,game_26.json,17,rule,1,0.444444444444,0.444444444444,5,5,4,False,
GPT54,llm_vs_flawed,game_26.json,19,rule,1,0.6,0.6,3,3,4,False,
GPT54,llm_vs_flawed,game_27.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_27.json,5,rule,1,0.0909090909091,0.0909090909091,5,5,4,False,
GPT54,llm_vs_flawed,game_27.json,9,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_27.json,12,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_27.json,15,rule,1,0.5,0.5,4,4,4,False,
GPT54,llm_vs_flawed,game_27.json,17,rule,1,0.714285714286,0.714285714286,4,4,4,False,
GPT54,llm_vs_flawed,game_27.json,19,rule,1,0.666666666667,0.659663865546,20,20,3,True,
GPT54,llm_vs_flawed,game_27.json,21,rule,1,0.678571428571,0.673076923077,19,19,2,True,
GPT54,llm_vs_flawed,game_27.json,23,rule,1,0.285714285714,0.285714285714,5,5,4,False,
GPT54,llm_vs_flawed,game_27.json,26,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_27.json,44,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_27.json,47,rule,1,0.666666666667,0.666666666667,3,3,4,False,
GPT54,llm_vs_flawed,game_27.json,49,rule,1,0.666666666667,0.666666666667,3,3,3,False,
GPT54,llm_vs_flawed,game_27.json,54,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_28.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_28.json,3,rule,1,0.166666666667,0.166666666667,5,5,4,False,
GPT54,llm_vs_flawed,game_28.json,12,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_28.json,16,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_28.json,18,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_28.json,22,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_28.json,25,rule,1,0.666666666667,0.666666666667,4,4,4,False,
GPT54,llm_vs_flawed,game_28.json,27,rule,1,0.375,0.357142857143,5,5,4,False,
GPT54,llm_vs_flawed,game_28.json,29,rule,1,0.8,0.8,4,4,3,True,
GPT54,llm_vs_flawed,game_28.json,36,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_28.json,38,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_28.json,39,rule,1,0.733333333333,0.730769230769,12,12,2,False,
GPT54,llm_vs_flawed,game_28.json,45,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_29.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_29.json,3,rule,1,0,0,4,4,4,False,
GPT54,llm_vs_flawed,game_29.json,5,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_29.json,23,rule,1,0.611111111111,0.588235294118,10,10,4,True,
GPT54,llm_vs_flawed,game_29.json,25,rule,1,0.642857142857,0.625,16,16,3,True,
GPT54,llm_vs_flawed,game_29.json,34,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_29.json,35,rule,1,0.571428571429,0.571428571429,5,5,2,True,
GPT54,llm_vs_flawed,game_3.json,2,llm,0,0,0,5,5,4,False,True
GPT54,llm_vs_flawed,game_3.json,5,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_3.json,7,rule,1,0.25,0.25,5,5,4,False,
GPT54,llm_vs_flawed,game_3.json,9,rule,1,0.5,0.5,4,4,4,False,
GPT54,llm_vs_flawed,game_3.json,11,rule,1,0.714285714286,0.714285714286,4,4,4,False,
GPT54,llm_vs_flawed,game_3.json,13,rule,1,0.333333333333,0.333333333333,2,2,4,True,
GPT54,llm_vs_flawed,game_3.json,18,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_3.json,19,rule,1,0.833333333333,0.833333333333,4,4,3,True,
GPT54,llm_vs_flawed,game_3.json,26,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_3.json,29,rule,1,0.428571428571,0.428571428571,5,5,4,False,
GPT54,llm_vs_flawed,game_3.json,42,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_30.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_30.json,8,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_30.json,10,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_30.json,13,rule,1,0.8,0.8,4,4,4,False,
GPT54,llm_vs_flawed,game_30.json,26,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_30.json,27,rule,1,0.625,0.625,5,5,4,True,
GPT54,llm_vs_flawed,game_30.json,52,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_30.json,58,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_31.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_31.json,16,llm,0,0,0,3,3,4,False,True
GPT54,llm_vs_flawed,game_31.json,19,rule,1,0.6,0.6,4,4,4,False,
GPT54,llm_vs_flawed,game_31.json,46,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_31.json,48,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_31.json,51,rule,1,0.333333333333,0.333333333333,2,2,4,False,
GPT54,llm_vs_flawed,game_31.json,53,rule,1,0.5,0.5,2,2,3,False,
GPT54,llm_vs_flawed,game_31.json,57,rule,1,0.666666666667,0.666666666667,3,3,4,True,
GPT54,llm_vs_flawed,game_32.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_32.json,16,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_32.json,21,rule,1,0.666666666667,0.666666666667,3,3,4,True,
GPT54,llm_vs_flawed,game_32.json,26,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_32.json,28,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_32.json,30,llm,0,0,0,1,1,3,False,True
GPT54,llm_vs_flawed,game_32.json,58,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_33.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_33.json,5,rule,1,0,0,3,3,4,False,
GPT54,llm_vs_flawed,game_33.json,7,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_33.json,9,rule,1,0.25,0.25,3,3,3,True,
GPT54,llm_vs_flawed,game_33.json,11,rule,1,0.333333333333,0.333333333333,4,4,4,False,
GPT54,llm_vs_flawed,game_33.json,13,rule,1,0.454545454545,0.454545454545,5,5,3,True,
GPT54,llm_vs_flawed,game_33.json,16,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_33.json,23,rule,1,0.5,0.5,3,3,4,True,
GPT54,llm_vs_flawed,game_34.json,3,rule,1,0,0,4,4,4,False,
GPT54,llm_vs_flawed,game_34.json,5,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_34.json,7,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_34.json,9,rule,1,0.5,0.5,2,2,4,False,
GPT54,llm_vs_flawed,game_34.json,14,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_34.json,15,rule,1,0.684210526316,0.684210526316,12,12,4,True,
GPT54,llm_vs_flawed,game_34.json,40,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_35.json,1,rule,1,0.638888888889,0.638888888889,20,20,4,True,
GPT54,llm_vs_flawed,game_35.json,3,rule,1,0.642857142857,0.642857142857,16,16,4,True,
GPT54,llm_vs_flawed,game_35.json,5,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_35.json,9,rule,1,0.75,0.75,3,3,4,False,
GPT54,llm_vs_flawed,game_35.json,11,rule,1,0.0833333333333,0.0833333333333,5,5,4,False,
GPT54,llm_vs_flawed,game_35.json,20,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_35.json,21,rule,1,0.666666666667,0.666666666667,6,6,3,False,
GPT54,llm_vs_flawed,game_35.json,23,rule,1,0.5,0.5,2,2,4,False,
GPT54,llm_vs_flawed,game_35.json,25,rule,1,0.6,0.6,11,11,3,True,
GPT54,llm_vs_flawed,game_36.json,18,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_36.json,22,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_36.json,38,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_36.json,45,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_36.json,47,rule,1,0.736842105263,0.723529411765,13,13,3,True,
GPT54,llm_vs_flawed,game_36.json,49,rule,1,0.7,0.7,6,6,2,True,
GPT54,llm_vs_flawed,game_36.json,51,rule,1,1,1,1,1,4,True,
GPT54,llm_vs_flawed,game_37.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_37.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_37.json,5,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_37.json,7,rule,1,0.166666666667,0.166666666667,3,3,4,False,
GPT54,llm_vs_flawed,game_37.json,11,rule,1,0.222222222222,0.222222222222,5,5,4,True,
GPT54,llm_vs_flawed,game_37.json,13,rule,1,0.125,0.125,5,5,4,False,
GPT54,llm_vs_flawed,game_37.json,38,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_37.json,41,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_37.json,58,llm,0,0.75,0.75,3,3,4,False,True
GPT54,llm_vs_flawed,game_38.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_38.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_38.json,5,rule,1,0.1,0.1,4,4,4,False,
GPT54,llm_vs_flawed,game_38.json,7,rule,1,0.833333333333,0.833333333333,4,4,4,False,
GPT54,llm_vs_flawed,game_38.json,9,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_38.json,11,rule,1,0.6,0.6,3,3,3,True,
GPT54,llm_vs_flawed,game_38.json,13,rule,1,0.625,0.625,8,8,4,True,
GPT54,llm_vs_flawed,game_38.json,15,rule,1,0.6,0.6,11,11,4,True,
GPT54,llm_vs_flawed,game_39.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_39.json,3,rule,1,0.666666666667,0.666666666667,4,4,4,False,
GPT54,llm_vs_flawed,game_39.json,5,rule,1,0.153846153846,0.153846153846,5,5,4,False,
GPT54,llm_vs_flawed,game_39.json,7,rule,1,0.702702702703,0.68487394958,20,20,4,True,
GPT54,llm_vs_flawed,game_39.json,9,rule,1,0.333333333333,0.333333333333,5,5,4,False,
GPT54,llm_vs_flawed,game_39.json,11,rule,1,0.5,0.5,4,4,4,False,
GPT54,llm_vs_flawed,game_39.json,13,rule,1,0.6,0.6,3,3,4,True,
GPT54,llm_vs_flawed,game_39.json,17,rule,1,0.8,0.8,12,12,4,True,
GPT54,llm_vs_flawed,game_4.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_4.json,3,rule,1,0.142857142857,0.142857142857,5,5,4,False,
GPT54,llm_vs_flawed,game_4.json,5,rule,1,0.307692307692,0.307692307692,5,5,4,False,
GPT54,llm_vs_flawed,game_4.json,7,rule,1,0.375,0.375,5,5,4,False,
GPT54,llm_vs_flawed,game_4.json,9,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_4.json,11,rule,1,0.75,0.75,4,4,3,True,
GPT54,llm_vs_flawed,game_4.json,13,rule,1,0.5,0.5,5,5,4,False,
GPT54,llm_vs_flawed,game_4.json,15,rule,1,0.8,0.8,4,4,4,True,
GPT54,llm_vs_flawed,game_4.json,17,rule,1,0.666666666667,0.666666666667,4,4,4,True,
GPT54,llm_vs_flawed,game_40.json,3,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_40.json,5,rule,1,0.0833333333333,0.0833333333333,5,5,4,False,
GPT54,llm_vs_flawed,game_40.json,7,rule,1,0.272727272727,0.272727272727,5,5,4,False,
GPT54,llm_vs_flawed,game_40.json,9,rule,1,0.666666666667,0.666666666667,4,4,4,False,
GPT54,llm_vs_flawed,game_40.json,18,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_40.json,21,rule,1,0.6,0.6,3,3,4,False,
GPT54,llm_vs_flawed,game_40.json,44,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_40.json,54,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_41.json,1,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_41.json,3,rule,1,0.2,0.2,4,4,4,True,
GPT54,llm_vs_flawed,game_41.json,7,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_41.json,9,rule,1,0.272727272727,0.272727272727,5,5,4,False,
GPT54,llm_vs_flawed,game_41.json,11,rule,1,0.714285714286,0.714285714286,4,4,4,True,
GPT54,llm_vs_flawed,game_41.json,13,rule,1,0.333333333333,0.3,5,5,4,False,
GPT54,llm_vs_flawed,game_41.json,15,rule,1,0.5,0.428571428571,5,5,4,False,
GPT54,llm_vs_flawed,game_41.json,17,rule,1,0.4,0.4,5,5,4,False,
GPT54,llm_vs_flawed,game_41.json,19,rule,1,0.5,0.5,3,3,3,False,
GPT54,llm_vs_flawed,game_41.json,21,rule,1,0.6,0.6,3,3,4,True,
GPT54,llm_vs_flawed,game_42.json,2,llm,0,0,0,5,5,4,False,True
GPT54,llm_vs_flawed,game_42.json,4,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_42.json,8,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_42.json,14,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_42.json,20,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_42.json,29,rule,1,0.571428571429,0.571428571429,10,10,4,True,
GPT54,llm_vs_flawed,game_42.json,31,rule,1,0.4,0.4,3,3,3,True,
GPT54,llm_vs_flawed,game_42.json,39,rule,1,0,0,1,1,4,False,
GPT54,llm_vs_flawed,game_42.json,44,llm,0,0,0,1,1,4,False,True
GPT54,llm_vs_flawed,game_42.json,57,rule,1,0.692307692308,0.636363636364,10,9,4,True,
GPT54,llm_vs_flawed,game_43.json,5,rule,1,0.666666666667,0.666666666667,4,4,4,True,
GPT54,llm_vs_flawed,game_43.json,7,rule,1,0.6,0.6,3,3,3,True,
GPT54,llm_vs_flawed,game_43.json,9,rule,1,0,0,5,5,4,False,
GPT54,llm_vs_flawed,game_43.json,21,rule,1,0.0833333333333,0.0833333333333,5,5,4,False,
GPT54,llm_vs_flawed,game_43.json,23,rule,1,0,0,1,1,3,False,
GPT54,llm_vs_flawed,game_43.json,25,rule,1,0.272727272727,0.272727272727,5,5,4,False,
GPT54,llm_vs_flawed,game_43.json,27,rule,1,0.666666666667,0.666666666667,4,4,3,True,
